id,equipment_id,sensor_id,alert_type,severity,title,description,confidence,suggested_action,status,created_at,resolved_at,site_id,correlation_group,related_alert_count,tenant_id,i18n,dedup_key,occurrence_count,first_seen_at,last_seen_at,escalated_from,suppressed,suppression_reason,detection_metadata,correlation_id,correlation_role
1869,73,,STATISTICAL_ANOMALY,HIGH,Yokogawa VT-306泵设备维护警报,检测到Yokogawa VT-306泵设备存在统计异常，设备间歇性运行，33%的读数显示近零振动。根据ISO 10816标准，振动水平可能影响轴承健康指数，建议进行详细检查。,0.9,请立即对设备进行维护检查，特别关注振动传感器和轴承状态。,RESOLVED,2025-04-04 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""A statistical anomaly has been detected for the Yokogawa VT-306 pump. The equipment is operating intermittently, with 33% of readings showing near-zero vibration. According to ISO 10816 standards, this vibration level may impact bearing health, warranting a detailed inspection."", ""suggested_action"": ""Please conduct immediate maintenance checks on the equipment, focusing particularly on the vibration sensors and bearing condition.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警告"", ""description"": ""Yokogawa VT-306ポンプに統計的異常が検出されました。33%の読み取り値で近いゼロ振動が観測され、装置が断続的に稼働しています。ISO 10816基準に基づき、ベアリングの健康指数に影響を与える可能性がありますので、詳細な点検をお勧めします。"", ""suggested_action"": ""直ちに装置のメンテナンス点検を行い、特に振動センサーとベアリングの状態に注意してください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵設備維護警報"", ""description"": ""檢測到Yokogawa VT-306泵設備存在統計異常，設備間歇性運行，33%的讀數顯示近零振動。根據ISO 10816標準，振動水平可能影響軸承健康指數，建議進行詳細檢查。"", ""suggested_action"": ""請立即對設備進行維護檢查，特別關注振動傳感器和軸承狀態。""}}",73:OFFLINE_DETECTED:2025-04-04,1,2025-04-04 08:00:00,2025-04-04 08:00:00,,f,,,,
1897,73,,Statistical Analysis,MEDIUM,Yokogawa VT-306泵维护警报,检测到Yokogawa VT-306泵的统计分析结果显示，峰度为5.97，超过阈值5.0，表明存在非高斯分布。健康指数为85.0，表明设备状态中等。请根据ISO 10816标准检查振动和轴承状态。,0.78,建议对泵进行详细检查，并监测其振动水平和轴承健康。,RESOLVED,2025-05-15 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""Statistical analysis of the Yokogawa VT-306 pump indicates a kurtosis of 5.97, exceeding the threshold of 5.0, suggesting a non-Gaussian distribution. The health index is 85.0, indicating a medium condition of the equipment. Please refer to ISO 10816 standards for vibration and bearing condition assessment."", ""suggested_action"": ""It is recommended to conduct a detailed inspection of the pump and monitor its vibration levels and bearing health.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンスアラート"", ""description"": ""Yokogawa VT-306ポンプの統計分析結果により、尖度が5.97であり、閾値5.0を超えています。これは非ガウス分布を示しています。健康指数は85.0であり、設備の状態は中程度です。ISO 10816基準に従って、振動とベアリングの状態を確認してください。"", ""suggested_action"": ""ポンプの詳細な点検を行い、振動レベルとベアリングの健康状態を監視することをお勧めします。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵維護警報"", ""description"": ""檢測到Yokogawa VT-306泵的統計分析結果顯示，峰度為5.97，超過閾值5.0，顯示存在非高斯分佈。健康指數為85.0，顯示設備狀態中等。請根據ISO 10816標準檢查振動和軸承狀態。"", ""suggested_action"": ""建議對泵進行詳細檢查，並監測其振動水平和軸承健康。""}}",73:HIGH_KURTOSIS:2025-05-15,1,2025-05-15 08:00:00,2025-05-15 08:00:00,,f,,,,
1898,73,,STATISTICAL_ANOMALY,HIGH,Yokogawa VT-306泵设备维护警报,检测到Yokogawa VT-306泵设备处于离线状态，81%的振动读数接近零，表明可能存在严重的故障风险。建议根据ISO 10816标准检查设备的健康指数和轴承状态，以确保设备正常运行。,0.9,请立即对设备进行检查和维护，以防止进一步损坏。,RESOLVED,2025-05-16 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""The Yokogawa VT-306 pump has been detected as offline, with 81% of vibration readings near zero, indicating a high risk of severe failure. It is recommended to check the equipment's health index and bearing condition according to ISO 10816 standards to ensure proper operation."", ""suggested_action"": ""Please conduct immediate inspection and maintenance to prevent further damage.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警告"", ""description"": ""Yokogawa VT-306ポンプがオフラインであることが検出されました。振動の81%がほぼゼロであり、重大な故障のリスクがあることを示しています。ISO 10816に基づいて、設備の健康指数とベアリングの状態を確認することをお勧めします。"", ""suggested_action"": ""直ちに設備の点検とメンテナンスを行い、さらなる損傷を防いでください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵設備維護警報"", ""description"": ""檢測到Yokogawa VT-306泵設備處於離線狀態，81%的振動讀數接近零，顯示可能存在嚴重故障風險。建議根據ISO 10816標準檢查設備的健康指數和軸承狀態，以確保設備正常運行。"", ""suggested_action"": ""請立即對設備進行檢查和維護，以防止進一步損壞。""}}",73:OFFLINE_DETECTED:2025-05-16,1,2025-05-16 08:00:00,2025-05-16 08:00:00,,f,,,,
1899,73,,STATISTICAL_ANOMALY,HIGH,Yokogawa VT-306泵设备维护警报,检测到Yokogawa VT-306泵设备出现统计异常，设备间歇性运行，71%的读数接近零振动。根据ISO 10816标准，振动水平异常可能影响轴承和整体设备健康指数。建议进行详细检查以确保设备正常运行。,0.9,请立即安排专业人员检查设备并进行必要的维护。,RESOLVED,2025-05-17 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""A statistical anomaly has been detected in the Yokogawa VT-306 pump. The equipment is operating intermittently, with 71% of readings showing near-zero vibration. According to ISO 10816 standards, abnormal vibration levels may affect bearing performance and overall equipment health index."", ""suggested_action"": ""Please arrange for a qualified technician to inspect the equipment and perform necessary maintenance immediately.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警報"", ""description"": ""Yokogawa VT-306ポンプにおいて統計的異常が検出されました。71%の読み取り値がほぼゼロの振動を示しており、設備が断続的に稼働しています。ISO 10816基準に基づき、振動レベルの異常はベアリングや全体的な設備の健康指数に影響を及ぼす可能性があります。"", ""suggested_action"": ""直ちに専門の技術者による設備の点検と必要なメンテナンスを手配してください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵設備維護警報"", ""description"": ""檢測到Yokogawa VT-306泵設備出現統計異常，設備間歇性運行，71%的讀數接近零振動。根據ISO 10816標準，振動水平異常可能影響軸承及整體設備健康指數。建議進行詳細檢查以確保設備正常運行。"", ""suggested_action"": ""請立即安排專業人員檢查設備並進行必要的維護。""}}",73:OFFLINE_DETECTED:2025-05-17,1,2025-05-17 08:00:00,2025-05-17 08:00:00,,f,,,,
1900,73,,STATISTICAL_ANOMALY,HIGH,Yokogawa VT-306泵设备维护警报,检测到Yokogawa VT-306泵设备存在统计异常，设备在33%的读数中出现近乎零振动，表明可能存在间歇性故障。请注意，这种振动模式可能影响轴承的健康指数，并可能导致设备性能下降。建议根据ISO 10816标准进行进一步的振动分析和检查。,0.9,请立即安排专业人员进行设备检查和维护。确保对振动数据进行详细分析，以确定潜在问题。,RESOLVED,2025-05-18 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""A statistical anomaly has been detected in the Yokogawa VT-306 pump. The equipment shows near-zero vibration in 33% of readings, indicating potential intermittent failure. This vibration pattern may affect bearing health and could lead to decreased equipment performance. Further vibration analysis and inspection should be conducted in accordance with ISO 10816 standards."", ""suggested_action"": ""Please arrange for a qualified technician to inspect and maintain the equipment immediately. It is crucial to analyze the vibration data in detail to identify any underlying issues.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警告"", ""description"": ""Yokogawa VT-306ポンプで統計的異常が検出されました。33%の測定値でほぼゼロの振動が観察され、間欠的な故障の可能性を示しています。この振動パターンはベアリングの健康指数に影響を与え、設備の性能低下を引き起こす可能性があります。ISO 10816に基づいて、さらなる振動分析と検査を行うことをお勧めします。"", ""suggested_action"": ""直ちに専門家による設備の点検とメンテナンスを手配してください。振動データを詳細に分析し、潜在的な問題を特定することが重要です。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵設備維護警報"", ""description"": ""檢測到Yokogawa VT-306泵設備存在統計異常，設備在33%的讀數中出現近乎零振動，顯示可能存在間歇性故障。請注意，這種振動模式可能影響軸承的健康指數，並可能導致設備性能下降。建議根據ISO 10816標準進行進一步的振動分析和檢查。"", ""suggested_action"": ""請立即安排專業人員進行設備檢查和維護。確保對振動數據進行詳細分析，以確定潛在問題。""}}",73:OFFLINE_DETECTED:2025-05-18,1,2025-05-18 08:00:00,2025-05-18 08:00:00,,f,,,,
1901,73,,Statistical Analysis,MEDIUM,Yokogawa VT-306泵维护警报,检测到Yokogawa VT-306泵的统计分析结果显示高峰度（Kurtosis=5.53），超出阈值5.0，表明存在非高斯分布。健康指数为87.4，表明设备状态中等。请注意振动和轴承状态。,0.78,建议进行详细的振动分析和轴承检查，以确保设备正常运行。,RESOLVED,2025-05-19 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""Statistical analysis of the Yokogawa VT-306 pump indicates high kurtosis (Kurtosis=5.53), exceeding the threshold of 5.0, suggesting a non-Gaussian distribution. The health index is 87.4, indicating a medium condition of the equipment. Please monitor vibration and bearing conditions closely."", ""suggested_action"": ""It is recommended to conduct a detailed vibration analysis and bearing inspection to ensure proper operation of the equipment.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプメンテナンスアラート"", ""description"": ""Yokogawa VT-306ポンプの統計分析結果により、尖度（Kurtosis=5.53）が閾値5.0を超え、非ガウス分布が示されています。健康指数は87.4であり、設備の状態は中程度です。振動およびベアリングの状態に注意してください。"", ""suggested_action"": ""詳細な振動分析とベアリングの点検を行い、設備の正常な運転を確保することをお勧めします。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵維護警報"", ""description"": ""檢測到Yokogawa VT-306泵的統計分析結果顯示高峰度（Kurtosis=5.53），超出閾值5.0，顯示存在非高斯分佈。健康指數為87.4，顯示設備狀態中等。請注意振動和軸承狀態。"", ""suggested_action"": ""建議進行詳細的振動分析和軸承檢查，以確保設備正常運行。""}}",73:HIGH_KURTOSIS:2025-05-19,1,2025-05-19 08:00:00,2025-05-19 08:00:00,,f,,,,
1902,73,,Statistical Analysis,MEDIUM,Yokogawa VT-306泵维护警报,根据统计分析，Yokogawa VT-306泵的峰度为5.25，超过了阈值5.0，显示出非高斯分布。健康指数为87.6，表明设备的振动特征需要关注。请检查泵的轴承和振动状态，以确保其正常运行。,0.78,建议进行详细的振动分析，并根据ISO 10816标准评估设备健康状况。,RESOLVED,2025-05-21 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""Statistical analysis indicates that the kurtosis of the Yokogawa VT-306 pump is 5.25, exceeding the threshold of 5.0, suggesting a non-Gaussian distribution. The health index is 87.6, indicating that the vibration characteristics of the equipment require attention. Please check the pump's bearings and vibration status to ensure proper operation."", ""suggested_action"": ""It is recommended to conduct a detailed vibration analysis and assess the equipment's health according to ISO 10816 standards.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警告"", ""description"": ""統計分析に基づき、Yokogawa VT-306ポンプの尖度は5.25で、閾値5.0を超えています。非ガウス分布が示されており、健康指数は87.6です。ポンプのベアリングと振動状態を確認し、正常な運転を確保してください。"", ""suggested_action"": ""詳細な振動分析を実施し、ISO 10816基準に基づいて設備の健康状態を評価することをお勧めします。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵維護警報"", ""description"": ""根據統計分析，Yokogawa VT-306泵的峰度為5.25，超過了閾值5.0，顯示出非高斯分佈。健康指數為87.6，顯示設備的振動特徵需要關注。請檢查泵的軸承和振動狀態，以確保其正常運行。"", ""suggested_action"": ""建議進行詳細的振動分析，並根據ISO 10816標準評估設備健康狀況。""}}",73:HIGH_KURTOSIS:2025-05-21,1,2025-05-21 08:00:00,2025-05-21 08:00:00,,f,,,,
1903,73,,STATISTICAL_ANOMALY,HIGH,Yokogawa VT-306泵维护警报,设备检测到高严重性故障，传感器数据显示69%的读数接近零振动，表明设备存在间歇性故障。建议根据ISO 10816标准检查振动和轴承健康指数，以确保设备正常运行。,0.9,请立即进行详细检查，并考虑更换可能受损的部件。,RESOLVED,2025-05-24 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""A high severity fault has been detected in the equipment. Sensor data indicates that 69% of readings show near-zero vibration, suggesting intermittent equipment failure. It is recommended to check vibration and bearing health indices according to ISO 10816 standards."", ""suggested_action"": ""Please conduct a detailed inspection immediately and consider replacing any potentially damaged components.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプメンテナンス警報"", ""description"": ""設備に高い重大性の故障が検出されました。センサーデータによると、69%の読み取り値がほぼゼロ振動であり、設備に間欠的な故障があることを示しています。ISO 10816に基づいて、振動とベアリングの健康指数を確認することをお勧めします。"", ""suggested_action"": ""直ちに詳細な点検を行い、損傷の可能性がある部品の交換を検討してください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵維護警報"", ""description"": ""設備檢測到高嚴重性故障，傳感器數據顯示69%的讀數接近零振動，顯示設備存在間歇性故障。建議根據ISO 10816標準檢查振動和軸承健康指數，以確保設備正常運行。"", ""suggested_action"": ""請立即進行詳細檢查，並考慮更換可能受損的部件。""}}",73:OFFLINE_DETECTED:2025-05-24,1,2025-05-24 08:00:00,2025-05-24 08:00:00,,f,,,,
1920,73,,Statistical Analysis,MEDIUM,Yokogawa VT-306泵维护警报,检测到Yokogawa VT-306泵的统计分析结果显示高峰度（Kurtosis=8.17），超出阈值5.0，表明存在非高斯分布。健康指数（HI）为68.7，表明设备状态中等。建议进行进一步的振动分析以确认潜在问题。,0.78,请检查泵的轴承和振动情况，并参考ISO 10816标准进行评估。,RESOLVED,2025-07-17 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""Statistical analysis of the Yokogawa VT-306 pump indicates a high kurtosis value of 8.17, exceeding the threshold of 5.0, suggesting a non-Gaussian distribution. The health index (HI) is 68.7, indicating a medium severity status. Further vibration analysis is recommended to confirm potential issues."", ""suggested_action"": ""Please inspect the pump's bearings and vibration conditions, and assess according to ISO 10816 standards.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンス警告"", ""description"": ""Yokogawa VT-306ポンプの統計分析により、尖度（Kurtosis=8.17）が閾値5.0を超え、非ガウス分布が示されました。健康指数（HI）は68.7であり、設備の状態は中程度です。潜在的な問題を確認するために、さらなる振動分析を行うことをお勧めします。"", ""suggested_action"": ""ポンプのベアリングと振動状態を確認し、ISO 10816基準に従って評価してください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵維護警報"", ""description"": ""檢測到Yokogawa VT-306泵的統計分析結果顯示高峰度（Kurtosis=8.17），超出閾值5.0，顯示存在非高斯分布。健康指數（HI）為68.7，顯示設備狀態中等。建議進一步進行振動分析以確認潛在問題。"", ""suggested_action"": ""請檢查泵的軸承和振動情況，並參考ISO 10816標準進行評估。""}}",73:HIGH_KURTOSIS:2025-07-17,1,2025-07-17 08:00:00,2025-07-17 08:00:00,,f,,,,
1954,73,,Multi-Signal Correlation,HIGH,Yokogawa VT-306泵设备维护警报,检测到Yokogawa VT-306泵的多信号相关性出现高严重性警报。根据传感器数据，速度复合信号与速度复合信号（非直接）之间的偏差为r=-0.123，平均值分别为16.6和15.9，健康指数为75.9。请注意，ISO 10816标准适用于此类设备的振动监测。,0.82,建议立即检查泵的振动和轴承状态，以防止潜在故障。请记录数据并进行必要的维护。,RESOLVED,2025-08-26 08:00:00+00,,,,0,b2c3d4e5-f6a7-8901-bcde-f12345678901,"{""en"": {""title"": ""Yokogawa VT-306 Pump Maintenance Alert"", ""description"": ""A high severity alert for multi-signal correlation has been detected on the Yokogawa VT-306 pump. Sensor data indicates a divergence of r=-0.123 between the vel_composite and vel_composite_nde signals, with average values of 16.6 and 15.9 respectively, and a health index of 75.9. This situation requires immediate attention as per ISO standards."", ""suggested_action"": ""It is recommended to immediately check the pump's vibration and bearing conditions to prevent potential failure. Please document the data and perform necessary maintenance.""}, ""ja"": {""title"": ""Yokogawa VT-306ポンプのメンテナンスアラート"", ""description"": ""Yokogawa VT-306ポンプにおいて、多信号相関の高い重大度のアラートが検出されました。センサーデータによると、速度合成信号と非直接速度合成信号の間にr=-0.123の偏差があり、平均値はそれぞれ16.6と15.9で、健康指数は75.9です。ISO 10816規格は、この種の設備の振動監視に適用されます。"", ""suggested_action"": ""ポンプの振動とベアリングの状態を直ちに確認することをお勧めします。潜在的な故障を防ぐために、データを記録し、必要なメンテナンスを行ってください。""}, ""zh-TW"": {""title"": ""Yokogawa VT-306泵設備維護警報"", ""description"": ""檢測到Yokogawa VT-306泵的多信號相關性出現高嚴重性警報。根據傳感器數據，速度復合信號與速度復合信號（非直接）之間的偏差為r=-0.123，平均值分別為16.6和15.9，健康指數為75.9。請注意，ISO 10816標準適用於此類設備的振動監測。"", ""suggested_action"": ""建議立即檢查泵的振動和軸承狀態，以防止潛在故障。請記錄數據並進行必要的維護。""}}",73:SIGNAL_DIVERGENCE:2025-08-26,1,2025-08-26 08:00:00,2025-08-26 08:00:00,,f,,,,
